Equation,Steps,Solution
-2(x^2) + -4x + -5 = 0,"Given equation: -2(x^2) + -4x + -5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-2*-5 = -24
Since the discriminant is negative, the equation has complex roots.","[-1 - sqrt(6)*I/2, -1 + sqrt(6)*I/2]"
1(x^2) + -1x + 1 = 0,"Given equation: 1(x^2) + -1x + 1 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*1*1 = -3
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(3)*I/2, 1/2 + sqrt(3)*I/2]"
4(x^2) + -4x + -3 = 0,"Given equation: 4(x^2) + -4x + -3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*4*-3 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 and x = 3/2","[-1/2, 3/2]"
-5(x^2) + -5x + -5 = 0,"Given equation: -5(x^2) + -5x + -5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-5*-5 = -75
Since the discriminant is negative, the equation has complex roots.","[-1/2 - sqrt(3)*I/2, -1/2 + sqrt(3)*I/2]"
3(x^2) + -3x + 4 = 0,"Given equation: 3(x^2) + -3x + 4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*3*4 = -39
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(39)*I/6, 1/2 + sqrt(39)*I/6]"
2(x^2) + 1x + -5 = 0,"Given equation: 2(x^2) + 1x + -5 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*2*-5 = 41
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/4 + sqrt(41)/4 and x = -sqrt(41)/4 - 1/4","[-1/4 + sqrt(41)/4, -sqrt(41)/4 - 1/4]"
-1(x^2) + -3x + 5 = 0,"Given equation: -1(x^2) + -3x + 5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-1*5 = 29
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/2 + sqrt(29)/2 and x = -sqrt(29)/2 - 3/2","[-3/2 + sqrt(29)/2, -sqrt(29)/2 - 3/2]"
-1(x^2) + -5x + -5 = 0,"Given equation: -1(x^2) + -5x + -5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-1*-5 = 5
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/2 - sqrt(5)/2 and x = -5/2 + sqrt(5)/2","[-5/2 - sqrt(5)/2, -5/2 + sqrt(5)/2]"
-3(x^2) + -5x + 4 = 0,"Given equation: -3(x^2) + -5x + 4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-3*4 = 73
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/6 + sqrt(73)/6 and x = -sqrt(73)/6 - 5/6","[-5/6 + sqrt(73)/6, -sqrt(73)/6 - 5/6]"
-4(x^2) + -5x + -4 = 0,"Given equation: -4(x^2) + -5x + -4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-4*-4 = -39
Since the discriminant is negative, the equation has complex roots.","[-5/8 - sqrt(39)*I/8, -5/8 + sqrt(39)*I/8]"
-2(x^2) + 5x + -5 = 0,"Given equation: -2(x^2) + 5x + -5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-2*-5 = -15
Since the discriminant is negative, the equation has complex roots.","[5/4 - sqrt(15)*I/4, 5/4 + sqrt(15)*I/4]"
-4(x^2) + 4x + 3 = 0,"Given equation: -4(x^2) + 4x + 3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-4*3 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 and x = 3/2","[-1/2, 3/2]"
5(x^2) + -5x + -3 = 0,"Given equation: 5(x^2) + -5x + -3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*5*-3 = 85
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/2 - sqrt(85)/10 and x = 1/2 + sqrt(85)/10","[1/2 - sqrt(85)/10, 1/2 + sqrt(85)/10]"
1(x^2) + -4x + -2 = 0,"Given equation: 1(x^2) + -4x + -2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*1*-2 = 24
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2 - sqrt(6) and x = 2 + sqrt(6)","[2 - sqrt(6), 2 + sqrt(6)]"
3(x^2) + -2x + -3 = 0,"Given equation: 3(x^2) + -2x + -3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*3*-3 = 40
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/3 - sqrt(10)/3 and x = 1/3 + sqrt(10)/3","[1/3 - sqrt(10)/3, 1/3 + sqrt(10)/3]"
-3(x^2) + -1x + -4 = 0,"Given equation: -3(x^2) + -1x + -4 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-3*-4 = -47
Since the discriminant is negative, the equation has complex roots.","[-1/6 - sqrt(47)*I/6, -1/6 + sqrt(47)*I/6]"
-5(x^2) + -3x + 4 = 0,"Given equation: -5(x^2) + -3x + 4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-5*4 = 89
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/10 + sqrt(89)/10 and x = -sqrt(89)/10 - 3/10","[-3/10 + sqrt(89)/10, -sqrt(89)/10 - 3/10]"
5(x^2) + 1x + -2 = 0,"Given equation: 5(x^2) + 1x + -2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*5*-2 = 41
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/10 + sqrt(41)/10 and x = -sqrt(41)/10 - 1/10","[-1/10 + sqrt(41)/10, -sqrt(41)/10 - 1/10]"
1(x^2) + -2x + -4 = 0,"Given equation: 1(x^2) + -2x + -4 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*1*-4 = 20
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1 - sqrt(5) and x = 1 + sqrt(5)","[1 - sqrt(5), 1 + sqrt(5)]"
3(x^2) + 4x + 5 = 0,"Given equation: 3(x^2) + 4x + 5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*3*5 = -44
Since the discriminant is negative, the equation has complex roots.","[-2/3 - sqrt(11)*I/3, -2/3 + sqrt(11)*I/3]"
3(x^2) + 2x + -2 = 0,"Given equation: 3(x^2) + 2x + -2 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*3*-2 = 28
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/3 + sqrt(7)/3 and x = -sqrt(7)/3 - 1/3","[-1/3 + sqrt(7)/3, -sqrt(7)/3 - 1/3]"
4(x^2) + -4x + 2 = 0,"Given equation: 4(x^2) + -4x + 2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*4*2 = -16
Since the discriminant is negative, the equation has complex roots.","[1/2 - I/2, 1/2 + I/2]"
4(x^2) + -1x + 5 = 0,"Given equation: 4(x^2) + -1x + 5 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*4*5 = -79
Since the discriminant is negative, the equation has complex roots.","[1/8 - sqrt(79)*I/8, 1/8 + sqrt(79)*I/8]"
3(x^2) + 4x + -4 = 0,"Given equation: 3(x^2) + 4x + -4 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*3*-4 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2 and x = 2/3","[-2, 2/3]"
5(x^2) + 2x + -3 = 0,"Given equation: 5(x^2) + 2x + -3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*5*-3 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 3/5","[-1, 3/5]"
2(x^2) + 4x + 4 = 0,"Given equation: 2(x^2) + 4x + 4 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*2*4 = -16
Since the discriminant is negative, the equation has complex roots.","[-1 - I, -1 + I]"
-1(x^2) + 3x + 4 = 0,"Given equation: -1(x^2) + 3x + 4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-1*4 = 25
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 4","[-1, 4]"
2(x^2) + -2x + -2 = 0,"Given equation: 2(x^2) + -2x + -2 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*2*-2 = 20
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/2 - sqrt(5)/2 and x = 1/2 + sqrt(5)/2","[1/2 - sqrt(5)/2, 1/2 + sqrt(5)/2]"
2(x^2) + 3x + 1 = 0,"Given equation: 2(x^2) + 3x + 1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*2*1 = 1
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = -1/2","[-1, -1/2]"
-3(x^2) + 4x + 2 = 0,"Given equation: -3(x^2) + 4x + 2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-3*2 = 40
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2/3 - sqrt(10)/3 and x = 2/3 + sqrt(10)/3","[2/3 - sqrt(10)/3, 2/3 + sqrt(10)/3]"
3(x^2) + 1x + 2 = 0,"Given equation: 3(x^2) + 1x + 2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*3*2 = -23
Since the discriminant is negative, the equation has complex roots.","[-1/6 - sqrt(23)*I/6, -1/6 + sqrt(23)*I/6]"
-3(x^2) + 4x + -1 = 0,"Given equation: -3(x^2) + 4x + -1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-3*-1 = 4
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/3 and x = 1","[1/3, 1]"
-5(x^2) + 1x + -2 = 0,"Given equation: -5(x^2) + 1x + -2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-5*-2 = -39
Since the discriminant is negative, the equation has complex roots.","[1/10 - sqrt(39)*I/10, 1/10 + sqrt(39)*I/10]"
-4(x^2) + 1x + -3 = 0,"Given equation: -4(x^2) + 1x + -3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-4*-3 = -47
Since the discriminant is negative, the equation has complex roots.","[1/8 - sqrt(47)*I/8, 1/8 + sqrt(47)*I/8]"
4(x^2) + -5x + 4 = 0,"Given equation: 4(x^2) + -5x + 4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*4*4 = -39
Since the discriminant is negative, the equation has complex roots.","[5/8 - sqrt(39)*I/8, 5/8 + sqrt(39)*I/8]"
-5(x^2) + -5x + -5 = 0,"Given equation: -5(x^2) + -5x + -5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-5*-5 = -75
Since the discriminant is negative, the equation has complex roots.","[-1/2 - sqrt(3)*I/2, -1/2 + sqrt(3)*I/2]"
1(x^2) + 5x + -5 = 0,"Given equation: 1(x^2) + 5x + -5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*1*-5 = 45
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/2 + 3*sqrt(5)/2 and x = -3*sqrt(5)/2 - 5/2","[-5/2 + 3*sqrt(5)/2, -3*sqrt(5)/2 - 5/2]"
-1(x^2) + 3x + 4 = 0,"Given equation: -1(x^2) + 3x + 4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-1*4 = 25
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 4","[-1, 4]"
-1(x^2) + 5x + 3 = 0,"Given equation: -1(x^2) + 5x + 3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-1*3 = 37
Since the discriminant is positive, the equation has two real roots.
The roots are x = 5/2 - sqrt(37)/2 and x = 5/2 + sqrt(37)/2","[5/2 - sqrt(37)/2, 5/2 + sqrt(37)/2]"
3(x^2) + -4x + -1 = 0,"Given equation: 3(x^2) + -4x + -1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*3*-1 = 28
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2/3 - sqrt(7)/3 and x = 2/3 + sqrt(7)/3","[2/3 - sqrt(7)/3, 2/3 + sqrt(7)/3]"
-4(x^2) + -4x + 1 = 0,"Given equation: -4(x^2) + -4x + 1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-4*1 = 32
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(2)/2 and x = -sqrt(2)/2 - 1/2","[-1/2 + sqrt(2)/2, -sqrt(2)/2 - 1/2]"
-3(x^2) + 3x + -1 = 0,"Given equation: -3(x^2) + 3x + -1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-3*-1 = -3
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(3)*I/6, 1/2 + sqrt(3)*I/6]"
5(x^2) + -2x + -1 = 0,"Given equation: 5(x^2) + -2x + -1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*5*-1 = 24
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/5 - sqrt(6)/5 and x = 1/5 + sqrt(6)/5","[1/5 - sqrt(6)/5, 1/5 + sqrt(6)/5]"
-2(x^2) + -1x + 4 = 0,"Given equation: -2(x^2) + -1x + 4 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-2*4 = 33
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/4 + sqrt(33)/4 and x = -sqrt(33)/4 - 1/4","[-1/4 + sqrt(33)/4, -sqrt(33)/4 - 1/4]"
-2(x^2) + -4x + 1 = 0,"Given equation: -2(x^2) + -4x + 1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-2*1 = 24
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 + sqrt(6)/2 and x = -sqrt(6)/2 - 1","[-1 + sqrt(6)/2, -sqrt(6)/2 - 1]"
-1(x^2) + 3x + 2 = 0,"Given equation: -1(x^2) + 3x + 2 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-1*2 = 17
Since the discriminant is positive, the equation has two real roots.
The roots are x = 3/2 - sqrt(17)/2 and x = 3/2 + sqrt(17)/2","[3/2 - sqrt(17)/2, 3/2 + sqrt(17)/2]"
-2(x^2) + -5x + 1 = 0,"Given equation: -2(x^2) + -5x + 1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-2*1 = 33
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/4 + sqrt(33)/4 and x = -sqrt(33)/4 - 5/4","[-5/4 + sqrt(33)/4, -sqrt(33)/4 - 5/4]"
-4(x^2) + -3x + 3 = 0,"Given equation: -4(x^2) + -3x + 3 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-4*3 = 57
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/8 + sqrt(57)/8 and x = -sqrt(57)/8 - 3/8","[-3/8 + sqrt(57)/8, -sqrt(57)/8 - 3/8]"
1(x^2) + -1x + 3 = 0,"Given equation: 1(x^2) + -1x + 3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*1*3 = -11
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(11)*I/2, 1/2 + sqrt(11)*I/2]"
-1(x^2) + -1x + 3 = 0,"Given equation: -1(x^2) + -1x + 3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-1*3 = 13
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(13)/2 and x = -sqrt(13)/2 - 1/2","[-1/2 + sqrt(13)/2, -sqrt(13)/2 - 1/2]"
3(x^2) + -1x + -2 = 0,"Given equation: 3(x^2) + -1x + -2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*3*-2 = 25
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2/3 and x = 1","[-2/3, 1]"
5(x^2) + 3x + -4 = 0,"Given equation: 5(x^2) + 3x + -4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*5*-4 = 89
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/10 + sqrt(89)/10 and x = -sqrt(89)/10 - 3/10","[-3/10 + sqrt(89)/10, -sqrt(89)/10 - 3/10]"
4(x^2) + 5x + -2 = 0,"Given equation: 4(x^2) + 5x + -2 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*4*-2 = 57
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/8 + sqrt(57)/8 and x = -sqrt(57)/8 - 5/8","[-5/8 + sqrt(57)/8, -sqrt(57)/8 - 5/8]"
2(x^2) + 3x + 1 = 0,"Given equation: 2(x^2) + 3x + 1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*2*1 = 1
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = -1/2","[-1, -1/2]"
-5(x^2) + -2x + -4 = 0,"Given equation: -5(x^2) + -2x + -4 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-5*-4 = -76
Since the discriminant is negative, the equation has complex roots.","[-1/5 - sqrt(19)*I/5, -1/5 + sqrt(19)*I/5]"
2(x^2) + 4x + 5 = 0,"Given equation: 2(x^2) + 4x + 5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*2*5 = -24
Since the discriminant is negative, the equation has complex roots.","[-1 - sqrt(6)*I/2, -1 + sqrt(6)*I/2]"
5(x^2) + 3x + 4 = 0,"Given equation: 5(x^2) + 3x + 4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*5*4 = -71
Since the discriminant is negative, the equation has complex roots.","[-3/10 - sqrt(71)*I/10, -3/10 + sqrt(71)*I/10]"
3(x^2) + 3x + -1 = 0,"Given equation: 3(x^2) + 3x + -1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*3*-1 = 21
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(21)/6 and x = -sqrt(21)/6 - 1/2","[-1/2 + sqrt(21)/6, -sqrt(21)/6 - 1/2]"
-4(x^2) + -2x + 1 = 0,"Given equation: -4(x^2) + -2x + 1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-4*1 = 20
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/4 + sqrt(5)/4 and x = -sqrt(5)/4 - 1/4","[-1/4 + sqrt(5)/4, -sqrt(5)/4 - 1/4]"
3(x^2) + -5x + -5 = 0,"Given equation: 3(x^2) + -5x + -5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*3*-5 = 85
Since the discriminant is positive, the equation has two real roots.
The roots are x = 5/6 - sqrt(85)/6 and x = 5/6 + sqrt(85)/6","[5/6 - sqrt(85)/6, 5/6 + sqrt(85)/6]"
4(x^2) + -1x + -4 = 0,"Given equation: 4(x^2) + -1x + -4 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*4*-4 = 65
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/8 - sqrt(65)/8 and x = 1/8 + sqrt(65)/8","[1/8 - sqrt(65)/8, 1/8 + sqrt(65)/8]"
4(x^2) + 5x + -1 = 0,"Given equation: 4(x^2) + 5x + -1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*4*-1 = 41
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/8 + sqrt(41)/8 and x = -sqrt(41)/8 - 5/8","[-5/8 + sqrt(41)/8, -sqrt(41)/8 - 5/8]"
4(x^2) + -1x + 1 = 0,"Given equation: 4(x^2) + -1x + 1 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*4*1 = -15
Since the discriminant is negative, the equation has complex roots.","[1/8 - sqrt(15)*I/8, 1/8 + sqrt(15)*I/8]"
-1(x^2) + -1x + -4 = 0,"Given equation: -1(x^2) + -1x + -4 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-1*-4 = -15
Since the discriminant is negative, the equation has complex roots.","[-1/2 - sqrt(15)*I/2, -1/2 + sqrt(15)*I/2]"
2(x^2) + -1x + -2 = 0,"Given equation: 2(x^2) + -1x + -2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*2*-2 = 17
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/4 - sqrt(17)/4 and x = 1/4 + sqrt(17)/4","[1/4 - sqrt(17)/4, 1/4 + sqrt(17)/4]"
1(x^2) + 5x + 1 = 0,"Given equation: 1(x^2) + 5x + 1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*1*1 = 21
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/2 - sqrt(21)/2 and x = -5/2 + sqrt(21)/2","[-5/2 - sqrt(21)/2, -5/2 + sqrt(21)/2]"
-3(x^2) + -4x + -4 = 0,"Given equation: -3(x^2) + -4x + -4 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-3*-4 = -32
Since the discriminant is negative, the equation has complex roots.","[-2/3 - 2*sqrt(2)*I/3, -2/3 + 2*sqrt(2)*I/3]"
5(x^2) + 4x + -3 = 0,"Given equation: 5(x^2) + 4x + -3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*5*-3 = 76
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2/5 + sqrt(19)/5 and x = -sqrt(19)/5 - 2/5","[-2/5 + sqrt(19)/5, -sqrt(19)/5 - 2/5]"
-2(x^2) + -3x + 1 = 0,"Given equation: -2(x^2) + -3x + 1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-2*1 = 17
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/4 + sqrt(17)/4 and x = -sqrt(17)/4 - 3/4","[-3/4 + sqrt(17)/4, -sqrt(17)/4 - 3/4]"
-2(x^2) + 5x + 5 = 0,"Given equation: -2(x^2) + 5x + 5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-2*5 = 65
Since the discriminant is positive, the equation has two real roots.
The roots are x = 5/4 - sqrt(65)/4 and x = 5/4 + sqrt(65)/4","[5/4 - sqrt(65)/4, 5/4 + sqrt(65)/4]"
-3(x^2) + -2x + -5 = 0,"Given equation: -3(x^2) + -2x + -5 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-3*-5 = -56
Since the discriminant is negative, the equation has complex roots.","[-1/3 - sqrt(14)*I/3, -1/3 + sqrt(14)*I/3]"
4(x^2) + 2x + -1 = 0,"Given equation: 4(x^2) + 2x + -1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*4*-1 = 20
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/4 + sqrt(5)/4 and x = -sqrt(5)/4 - 1/4","[-1/4 + sqrt(5)/4, -sqrt(5)/4 - 1/4]"
-4(x^2) + -2x + 1 = 0,"Given equation: -4(x^2) + -2x + 1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-4*1 = 20
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/4 + sqrt(5)/4 and x = -sqrt(5)/4 - 1/4","[-1/4 + sqrt(5)/4, -sqrt(5)/4 - 1/4]"
5(x^2) + 3x + -5 = 0,"Given equation: 5(x^2) + 3x + -5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*5*-5 = 109
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/10 + sqrt(109)/10 and x = -sqrt(109)/10 - 3/10","[-3/10 + sqrt(109)/10, -sqrt(109)/10 - 3/10]"
-4(x^2) + -2x + -3 = 0,"Given equation: -4(x^2) + -2x + -3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-4*-3 = -44
Since the discriminant is negative, the equation has complex roots.","[-1/4 - sqrt(11)*I/4, -1/4 + sqrt(11)*I/4]"
-1(x^2) + -5x + 5 = 0,"Given equation: -1(x^2) + -5x + 5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-1*5 = 45
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/2 + 3*sqrt(5)/2 and x = -3*sqrt(5)/2 - 5/2","[-5/2 + 3*sqrt(5)/2, -3*sqrt(5)/2 - 5/2]"
-2(x^2) + 4x + 5 = 0,"Given equation: -2(x^2) + 4x + 5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-2*5 = 56
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1 - sqrt(14)/2 and x = 1 + sqrt(14)/2","[1 - sqrt(14)/2, 1 + sqrt(14)/2]"
3(x^2) + -1x + 3 = 0,"Given equation: 3(x^2) + -1x + 3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*3*3 = -35
Since the discriminant is negative, the equation has complex roots.","[1/6 - sqrt(35)*I/6, 1/6 + sqrt(35)*I/6]"
1(x^2) + 2x + -4 = 0,"Given equation: 1(x^2) + 2x + -4 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*1*-4 = 20
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 + sqrt(5) and x = -sqrt(5) - 1","[-1 + sqrt(5), -sqrt(5) - 1]"
-4(x^2) + -2x + 4 = 0,"Given equation: -4(x^2) + -2x + 4 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-4*4 = 68
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/4 + sqrt(17)/4 and x = -sqrt(17)/4 - 1/4","[-1/4 + sqrt(17)/4, -sqrt(17)/4 - 1/4]"
-3(x^2) + -3x + -4 = 0,"Given equation: -3(x^2) + -3x + -4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-3*-4 = -39
Since the discriminant is negative, the equation has complex roots.","[-1/2 - sqrt(39)*I/6, -1/2 + sqrt(39)*I/6]"
-4(x^2) + -4x + 3 = 0,"Given equation: -4(x^2) + -4x + 3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-4*3 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/2 and x = 1/2","[-3/2, 1/2]"
-2(x^2) + -5x + -2 = 0,"Given equation: -2(x^2) + -5x + -2 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-2*-2 = 9
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2 and x = -1/2","[-2, -1/2]"
-1(x^2) + -3x + 1 = 0,"Given equation: -1(x^2) + -3x + 1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-1*1 = 13
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/2 + sqrt(13)/2 and x = -sqrt(13)/2 - 3/2","[-3/2 + sqrt(13)/2, -sqrt(13)/2 - 3/2]"
4(x^2) + 5x + -1 = 0,"Given equation: 4(x^2) + 5x + -1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*4*-1 = 41
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/8 + sqrt(41)/8 and x = -sqrt(41)/8 - 5/8","[-5/8 + sqrt(41)/8, -sqrt(41)/8 - 5/8]"
4(x^2) + -5x + -5 = 0,"Given equation: 4(x^2) + -5x + -5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*4*-5 = 105
Since the discriminant is positive, the equation has two real roots.
The roots are x = 5/8 - sqrt(105)/8 and x = 5/8 + sqrt(105)/8","[5/8 - sqrt(105)/8, 5/8 + sqrt(105)/8]"
